Quality,Buf3060,Buf120,Buf240
2621.3,null,null,0.37339
2623.69,null,null,0.370708
2624.08,0.290454,null,null
2626.21,0.425071,null,null
2626.82,null,null,0.370129
2629.28,null,0.269846,null
2630.52,null,0.268223,null
2632.22,null,0.27912,null
2635.24,0.261376,null,null
2636.76,null,0.255355,null
2637.56,0.455134,null,null
2641.27,null,null,0.501466
2642.01,null,0.317666,null
2649.97,0.267734,null,null
2651.93,null,null,0.270898
2654.59,0.235809,null,null
2654.77,null,0.245729,null
2661.28,0.189105,null,null
2664,null,null,0.271449
2664.43,null,0.294456,null
2670.91,null,0.302809,null
2671.24,null,0.389113,null
2681.96,0.283912,null,null
2682.7,null,0.307198,null
2689.84,null,null,0.351785
2690.81,null,0.499692,null
2696.28,null,null,0.372343
2697.46,null,null,0.460944
2698.3,null,null,0.382944
2701.17,null,0.465855,null
2701.98,0.463786,null,null
2703.61,0.281161,null,null
2704.35,0.287305,null,null
2708.53,0.467336,null,null
2710.09,0.474984,null,null
2711.51,null,null,0.300997
2711.97,null,null,0.289407
2714.77,null,0.288971,null
2719.58,0.296171,null,null
2723.84,null,0.297338,null
2723.98,null,0.760337,null
2731.3,null,0.208283,null
2731.56,0.212772,null,null
2732.58,null,null,0.301122
2732.93,null,0.289821,null
2737,null,null,0.307698
2738.78,null,null,0.31289
2740.1,0.491579,null,null
2743.98,null,null,0.578982
2746.07,null,null,0.324309
2747.05,null,0.528655,null
2747.67,null,0.34009,null
2750.59,0.772308,null,null
2761.88,0.268417,null,null
2763.5,null,0.257151,null
2764.29,0.284639,null,null
2777.72,null,0.642563,null
2784.58,0.243828,null,null
2793.21,null,0.597177,null
2796.31,null,0.593955,null
2798.21,null,0.620689,null
2799.21,null,null,0.26144
2803.61,0.279821,null,null
2807.77,null,null,0.64158
2815.81,null,null,0.447076
2821.56,null,0.323659,null
2824.87,null,0.463958,null
2833.07,0.416092,null,null
2838.82,null,null,0.657536
2839.11,0.39594,null,null
